tokens,activated_experts,time_us
1,8,62.657
2,8,61.888
2,16,77.024
4,8,64.511
4,16,78.335
4,32,110.976
8,8,66.883
8,16,82.302
8,32,116.832
8,64,182.592
16,8,68.831
16,16,83.679
16,32,114.752
16,64,186.368
16,128,308.351
32,8,78.911
32,16,86.848
32,32,116.865
32,64,185.213
32,128,317.024
32,256,566.08
64,8,85.503
64,16,91.233
64,32,119.81
64,64,182.437
64,128,311.553
64,256,567.388
128,8,105.085
128,16,107.197
128,32,129.088
128,64,188.543
128,128,320.831
128,256,587.678
256,8,166.401
256,16,170.048
256,32,177.314
256,64,219.201
256,128,333.216
256,256,605.12
512,8,220.926
512,16,220.864
512,32,225.984
512,64,251.072
512,128,353.858
512,256,614.111
1024,8,235.04
1024,16,236.065
1024,32,247.934
1024,64,276.797
1024,128,393.95
1024,256,653.053
