layer,sequences,time_us
lm_head,1,333.919
lm_head,2,338.207
lm_head,3,339.296
lm_head,4,341.215
lm_head,5,338.91
lm_head,6,341.822
lm_head,7,342.143
lm_head,8,339.454
lm_head,9,343.103
lm_head,10,343.455
lm_head,11,342.271
lm_head,12,340.223
lm_head,13,341.727
lm_head,14,340.799
lm_head,15,345.92
lm_head,16,341.277
lm_head,20,346.527
lm_head,24,349.824
lm_head,28,344.895
lm_head,32,346.72
lm_head,36,348.607
lm_head,40,347.839
lm_head,44,350.494
lm_head,48,350.367
lm_head,52,350.753
lm_head,56,351.711
lm_head,60,353.088
lm_head,64,353.535
lm_head,80,358.238
lm_head,96,363.745
lm_head,112,365.92
lm_head,128,372.288
lm_head,144,376.607
lm_head,160,375.359
lm_head,176,386.464
lm_head,192,391.743
lm_head,208,398.368
lm_head,224,396.799
lm_head,240,401.985
lm_head,256,424.382
lm_head,272,411.424
lm_head,288,492.703
lm_head,304,426.592
lm_head,320,459.071
lm_head,336,455.455
lm_head,352,518.847
lm_head,368,524.48
lm_head,384,526.59
lm_head,400,517.44
lm_head,416,569.439
lm_head,432,566.943
lm_head,448,690.559
lm_head,464,595.872
lm_head,480,596.255
lm_head,496,695.007
lm_head,512,702.174
sampler,1,15.23
sampler,2,14.848
sampler,3,15.584
sampler,4,15.52
sampler,5,18.432
sampler,6,18.689
sampler,7,19.232
sampler,8,18.848
sampler,9,21.504
sampler,10,22.751
sampler,11,23.297
sampler,12,23.904
sampler,13,24.992
sampler,14,26.528
sampler,15,27.392
sampler,16,28.064
sampler,20,32
sampler,24,34.431
sampler,28,40.992
sampler,32,46.656
sampler,36,51.2
sampler,40,57.632
sampler,44,57.728
sampler,48,61.696
sampler,52,72.382
sampler,56,76.896
sampler,60,81.504
sampler,64,88.736
sampler,80,106.976
sampler,96,127.039
sampler,112,148.576
sampler,128,175.807
sampler,144,187.774
sampler,160,208.576
sampler,176,210.304
sampler,192,247.647
sampler,208,268.93
sampler,224,282.399
sampler,240,302.88
sampler,256,317.631
sampler,272,343.903
sampler,288,362.721
sampler,304,386.912
sampler,320,401.887
sampler,336,414.145
sampler,352,427.711
sampler,368,440.254
sampler,384,454.303
sampler,400,476.832
sampler,416,492.031
sampler,432,502.464
sampler,448,516.672
sampler,464,533.919
sampler,480,550.944
sampler,496,565.12
sampler,512,581.568
